location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGF_R,IGF_R,AKT,ERK,a_ERK,a_AKT
54,54,100,quiescent,85,26,28,28,8,2,28,192,1,0.0991119,0.774423,1.55955e-12,1.12692e-07,0.82682,14.3,44
55,52,104,quiescent,57,18,28,28.5,8,1,28,192,1,0.0992221,0.776473,2.4531e-12,1.95872e-07,0.829538,14.3,44
55,48,105,quiescent,61.5,27,28,29,8,1,28,192,1,0.0994104,0.779807,2.16422e-12,1.82838e-07,0.83421,14.3,44
52,55,106,quiescent,77,10,28,46,8,1,28,192,1,0.0990244,0.772771,1.5915e-12,1.13576e-07,0.82467,14.3,44
46,55,108,quiescent,169.5,3,28,33,8,4,28,192,1,0.0989507,0.771415,2.5506e-13,1.6244e-08,0.822866,14.3,44
45,54,110,quiescent,67.5,39,28,36.5,8,1,28,192,1,0.0989156,0.770867,2.46558e-12,1.44356e-07,0.822005,14.3,44
44,54,111,quiescent,98,4,28,35,8,2,28,192,1,0.0989159,0.770861,4.69109e-12,2.82991e-07,0.82201,14.3,44
49,44,112,quiescent,109.5,27,28,33.5,8,2,28,192,1,0.0993079,0.777559,8.8111e-13,5.92359e-08,0.831667,14.3,44
44,50,113,quiescent,59.5,23,28,31.5,8,1,28,192,1,0.0988754,0.770225,4.05558e-12,2.60431e-07,0.821021,14.3,44
42,52,114,quiescent,142,44,28,31.5,8,3,28,192,1,0.0988698,0.769926,1.53462e-12,1.11994e-07,0.820887,14.3,44
47,55,115,quiescent,151.5,15,28,40.5,8,3,28,192,1,0.0989499,0.771406,3.16649e-12,2.29701e-07,0.822843,14.3,44
44,49,116,quiescent,60,24,28,30,8,1,28,192,1,0.0988964,0.770569,4.10223e-12,2.63121e-07,0.821534,14.3,44
44,47,117,quiescent,126,12,28,29,8,3,28,192,1,0.0989703,0.771731,8.39522e-13,5.88551e-08,0.823346,14.3,44
56,51,119,quiescent,65,34,28,31.5,8,1,28,192,1,0.0993467,0.778653,1.04181e-12,8.90387e-08,0.832627,14.3,44
50,56,120,quiescent,90.5,37,28,28.5,8,2,28,192,1,0.098989,0.772081,3.34241e-12,2.35882e-07,0.823799,14.3,44
51,44,122,quiescent,135.5,31,28,38.5,8,3,28,192,1,0.099399,0.779394,2.51014e-13,2.16889e-08,0.833931,14.3,44
49,55,123,quiescent,62.5,29,28,62.5,8,0,28,192,1,0.0989593,0.771619,3.63045e-12,2.43188e-07,0.823071,14.3,44
