location[0],location[1],state,age,now_phagocytose,max_phagocytose,CSF1R,trans,trans_num,rest_time,life_span,a_CSF1,a_A
62,64,M1,257.781,2,2,1,0,6,10,720,0.675,0.45
62,56,M2,237.629,0,2,1,0,5,0,720,0.675,0.45
48,33,M1,664.108,2,2,1,1,2,9,720,0.675,0.45
41,70,M2,634.616,0,2,1,1,6,0,720,0.675,0.45
47,76,M2,376.815,1,2,1,0,0,0,720,0.675,0.45
8,21,M2,444.812,0,2,1,1,6,0,720,0.675,0.45
48,25,M2,418.798,1,2,1,1,0,0,720,0.675,0.45
63,53,M2,211.146,0,2,1,0,1,0,720,0.675,0.45
53,2,M2,277.947,0,2,1,1,5,0,720,0.675,0.45
65,53,M2,536.564,1,2,1,0,4,0,720,0.675,0.45
42,61,M2,566.266,0,2,1,0,2,0,720,0.675,0.45
91,20,M2,413.308,0,2,1,1,1,0,720,0.675,0.45
64,40,M2,205.829,0,2,1,1,6,0,720,0.675,0.45
92,82,M2,325.497,0,2,1,1,0,0,720,0.675,0.45
54,75,M2,448.34,0,2,1,0,4,0,720,0.675,0.45
53,76,M2,590.698,0,2,1,0,3,0,720,0.675,0.45
24,38,M2,207.669,0,2,1,1,4,0,720,0.675,0.45
48,29,M2,472.619,0,2,1,0,6,0,720,0.675,0.45
65,43,M2,531.937,0,2,1,0,2,0,720,0.675,0.45
40,70,M2,422.895,0,2,1,1,3,0,720,0.675,0.45
22,45,M2,596.186,0,2,1,0,3,0,720,0.675,0.45
32,30,M2,398.173,0,2,1,0,3,0,720,0.675,0.45
45,19,M2,477.74,0,2,1,1,2,0,720,0.675,0.45
38,68,M2,601.107,0,2,1,1,0,0,720,0.675,0.45
22,55,M2,274.424,0,2,1,0,4,0,720,0.675,0.45
42,68,M2,452.03,0,2,1,0,0,0,720,0.675,0.45
34,32,M1,340.381,2,2,1,0,3,0,720,0.675,0.45
10,94,M2,183.115,0,2,1,1,0,0,720,0.675,0.45
28,24,M2,248.994,0,2,1,1,3,0,720,0.675,0.45
36,66,M2,453.733,0,2,1,0,4,0,720,0.675,0.45
48,31,M2,411.432,0,2,1,0,4,0,720,0.675,0.45
55,44,M2,369.855,0,2,1,0,6,0,720,0.675,0.45
28,42,M2,625.583,0,2,1,1,2,0,720,0.675,0.45
50,79,M2,542.683,0,2,1,0,6,0,720,0.675,0.45
